buildYear,buildingAr,buildingType,buildingUse,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,floor,jibun,landUse,plottageAr,sggCd,sggNm,shareDealingType,slerGbn,umdNm
1991,449.08,일반,제1종근린생활,법인,,,"1,245,000",13,1,2025,중개거래,서울 강남구,,2**,준공업,168.6,11200,성동구,,법인,성수동2가
2017,407.34,일반,제2종근린생활,법인,,,"457,500",21,1,2025,중개거래,서울 서초구,,2**,준공업,116.4,11200,성동구,,법인,성수동2가
1989,270.24,일반,제1종근린생활,법인,,,"280,000",14,1,2025,중개거래,서울 강남구,,2**,일반상업,105.1,11200,성동구,,법인,도선동
2000,13.44,집합,제2종근린생활,개인,,,"8,000",22,1,2025,중개거래,서울 성동구,2,347,제3종일반주거,,11200,성동구,,개인,행당동
2007,21.6,집합,제2종근린생활,개인,,,"28,850",13,1,2025,중개거래,서울 강남구,1,340,제3종일반주거,,11200,성동구,,개인,금호동4가
2007,20.58,집합,제2종근린생활,개인,,,"24,850",13,1,2025,중개거래,서울 강남구,1,340,제3종일반주거,,11200,성동구,,개인,금호동4가
1990,18.72,집합,제1종근린생활,법인,,,"5,150",23,1,2025,직거래,,,228-1,준주거,,11200,성동구,,개인,용답동
2020,69.52,집합,제1종근린생활,개인,,,"141,000",21,2,2025,직거래,,1,273-52,준공업,,11200,성동구,,법인,성수동2가
2020,53.86,집합,제2종근린생활,개인,,,"114,000",21,2,2025,직거래,,1,273-52,준공업,,11200,성동구,,법인,성수동2가
1991,171.96,일반,제2종근린생활,법인,,,"414,000",7,2,2025,중개거래,서울 강남구,,3**,준공업,109,11200,성동구,,법인,성수동2가
1993,142.56,일반,제2종근린생활,법인,,,"190,000",27,2,2025,중개거래,"서울 강남구, 서울 송파구",,2**,준공업,96.2,11200,성동구,,법인,성수동2가
2010,22.36,집합,제2종근린생활,법인,,,"19,264",25,2,2025,직거래,,,281-16,준공업,,11200,성동구,,법인,성수동2가
1967,57.86,일반,제1종근린생활,개인,,,"230,000",23,2,2025,중개거래,"서울 성동구, 서울 용산구",,3**,제3종일반주거,69,11200,성동구,,개인,성수동2가
1989,571.2,일반,제2종근린생활,개인,,,"740,000",26,2,2025,중개거래,"서울 서초구, 서울 성동구",,2**,준공업,238.7,11200,성동구,,법인,성수동2가
2020,69.16,집합,제2종근린생활,개인,,,"144,900",4,2,2025,중개거래,서울 성동구,1,273-52,준공업,,11200,성동구,,법인,성수동2가
2020,81.19,집합,제2종근린생활,개인,,,"170,100",4,2,2025,중개거래,서울 성동구,1,273-52,준공업,,11200,성동구,,법인,성수동2가
1990,273.48,일반,제2종근린생활,법인,,,"595,000",7,2,2025,중개거래,서울 강남구,,6**,제2종일반주거,142,11200,성동구,,개인,성수동1가
2014,54.72,집합,제2종근린생활,개인,,,"70,000",13,2,2025,중개거래,서울 성동구,1,284-55,준공업,,11200,성동구,,개인,성수동2가
,2157.49,일반,숙박,법인,,,"1,090,000",12,2,2025,중개거래,"서울 강남구, 서울 성동구",,1**,일반상업,351.7,11200,성동구,,개인,도선동
1985,120.33,일반,제2종근린생활,법인,,,"261,700",14,2,2025,직거래,,,7**,제3종일반주거,59.1,11200,성동구,,법인,마장동
2001,21.83,집합,제2종근린생활,개인,,,"13,000",7,2,2025,중개거래,서울 성동구,,633,제3종일반주거,,11200,성동구,,개인,금호동1가
2006,145.4,일반,제2종근린생활,개인,,,"20,000",10,2,2025,직거래,,,7**,제2종일반주거,66.95,11200,성동구,지분,개인,마장동
1972,2342.63,일반,업무,법인,,,"6,700,000",31,3,2025,중개거래,서울 종로구,,3*,일반상업,1652.9,11200,성동구,,개인,도선동
1972,2342.63,일반,업무,법인,,,"6,700,000",31,3,2025,직거래,,,3*,일반상업,1652.9,11200,성동구,,법인,도선동
1972,128.26,일반,제1종근린생활,법인,,,"850,000",25,3,2025,중개거래,서울 성동구,,1*,준공업,100.2,11200,성동구,,개인,성수동1가
1960,111.6,일반,제1종근린생활,법인,,,"164,000",14,3,2025,중개거래,서울 은평구,,3*,제2종일반주거,86,11200,성동구,,개인,행당동
,41.15,집합,제2종근린생활,개인,,,"36,000",24,3,2025,중개거래,서울 성동구,,15,제3종일반주거,,11200,성동구,지분,개인,응봉동
2014,41.29,집합,판매,개인,,,"38,000",28,3,2025,중개거래,서울 성동구,11,811,제3종일반주거,,11200,성동구,,개인,상왕십리동
1984,2516.91,일반,업무,개인,,,"1,200,000",18,3,2025,중개거래,서울 강남구,,5**,제3종일반주거,777.6,11200,성동구,,개인,마장동
1993,195.9,일반,제1종근린생활,법인,,,"286,450",7,3,2025,중개거래,서울 성동구,,3**,준공업,111.4,11200,성동구,,개인,성수동2가
2014,43.65,집합,판매,개인,,,"65,000",28,3,2025,중개거래,서울 성동구,11,811,제3종일반주거,,11200,성동구,,개인,상왕십리동
1970,79.08,일반,제1종근린생활,개인,,,"180,000",31,3,2025,중개거래,서울 성동구,,3**,제3종일반주거,56,11200,성동구,,개인,성수동2가
2013,3725.72,일반,업무,법인,,,"5,350,000",14,3,2025,직거래,,,3**,준공업,669.8,11200,성동구,,법인,성수동2가
2007,236.29,집합,제1종근린생활,개인,,,"70,000",17,3,2025,중개거래,서울 성동구,,340,제3종일반주거,,11200,성동구,,개인,금호동4가
1976,397.1,일반,기타,개인,,,"615,000",29,3,2025,중개거래,서울 성동구,,2**,제3종일반주거,205,11200,성동구,,개인,성수동1가
,235.11,집합,교육연구,법인,,,"100,000",5,3,2025,중개거래,서울 성동구,2,346,제3종일반주거,,11200,성동구,,개인,행당동
2000,22.5,집합,제2종근린생활,개인,,,"18,000",25,3,2025,중개거래,서울 성동구,2,347,제3종일반주거,,11200,성동구,,개인,행당동
2000,11.25,집합,제2종근린생활,개인,,,"9,000",25,3,2025,중개거래,서울 성동구,2,347,제3종일반주거,,11200,성동구,,개인,행당동
2024,115.48,집합,제2종근린생활,법인,,,"74,800",14,3,2025,직거래,,2,238-6,유통상업,,11200,성동구,,법인,용답동
1986,287,일반,제2종근린생활,개인,,,"527,000",1,3,2025,중개거래,서울 성동구,,2**,제3종일반주거,145,11200,성동구,,법인,성수동1가
1990,13.86,집합,제1종근린생활,개인,,,"3,600",6,3,2025,직거래,,,228-1,준주거,,11200,성동구,,개인,용답동
1990,23.76,집합,제2종근린생활,법인,,,"6,200",6,3,2025,직거래,,,228-1,준주거,,11200,성동구,,개인,용답동
2002,43.39,집합,제2종근린생활,기타,,,"50,000",28,4,2025,직거래,,,1418-9,제2종일반주거,,11200,성동구,,개인,금호동4가
1976,172.73,일반,제2종근린생활,법인,,,"1,100,000",23,4,2025,중개거래,서울 성동구,,3**,준공업,120.2,11200,성동구,,개인,성수동2가
1985,236.71,일반,제2종근린생활,개인,,,"230,000",27,4,2025,직거래,,,3**,준공업,48.45,11200,성동구,지분,개인,성수동2가
1976,395.52,일반,제1종근린생활,법인,,,"845,000",18,4,2025,중개거래,서울 강남구,,6**,준공업,165,11200,성동구,,법인,성수동1가
1980,154.7,일반,제2종근린생활,개인,,,"375,000",16,4,2025,중개거래,서울 강남구,,2**,제3종일반주거,106,11200,성동구,,개인,성수동1가
2010,136.19,집합,업무,법인,,,"154,080",4,4,2025,직거래,,8,308-4,준공업,,11200,성동구,,법인,성수동2가
2020,73.92,집합,업무,개인,,,"99,980",29,4,2025,중개거래,"서울 강남구, 서울 성동구",3,280,준공업,,11200,성동구,,개인,성수동2가
2009,80.89,집합,제2종근린생활,법인,,,"38,731",11,4,2025,직거래,,8,238-1,유통상업,,11200,성동구,,개인,용답동
2009,82.75,집합,제2종근린생활,법인,,,"39,588",11,4,2025,직거래,,8,238-1,유통상업,,11200,성동구,,법인,용답동
1981,276.23,집합,제2종근린생활,법인,,,"2,270",27,4,2025,직거래,,,685-201,준주거,,11200,성동구,지분,개인,성수동1가
1981,276.23,집합,제2종근린생활,개인,,,"2,270",27,4,2025,직거래,,,685-201,준주거,,11200,성동구,지분,개인,성수동1가
1981,276.23,집합,제2종근린생활,개인,,,"2,270",27,4,2025,직거래,,,685-201,준주거,,11200,성동구,지분,개인,성수동1가
1981,276.23,집합,제2종근린생활,개인,,,"9,080",27,4,2025,직거래,,,685-201,준주거,,11200,성동구,지분,개인,성수동1가
1981,276.23,집합,제2종근린생활,법인,,,"4,540",27,4,2025,직거래,,,685-201,준주거,,11200,성동구,지분,개인,성수동1가
1991,188,일반,제2종근린생활,법인,,,"340,000",3,4,2025,중개거래,서울 서초구,,3**,준공업,110,11200,성동구,,법인,성수동2가
1981,276.23,집합,제2종근린생활,개인,,,"4,540",27,4,2025,직거래,,,685-201,준주거,,11200,성동구,지분,개인,성수동1가
1990,865.5,일반,제1종근린생활,개인,,,"870,000",13,4,2025,중개거래,서울 성동구,,2**,제2종일반주거,337,11200,성동구,,개인,성수동2가
1977,48.83,집합,판매,법인,,,"210,004",23,4,2025,직거래,,,19-54,제2종일반주거,,11200,성동구,,개인,행당동
1977,52.07,집합,판매,개인,,,"42,874",23,4,2025,직거래,,,19-54,제2종일반주거,,11200,성동구,,개인,행당동
1979,40.1,집합,판매,개인,,,"20,000",12,4,2025,중개거래,서울 성동구,,234,유통상업,,11200,성동구,,개인,용답동
1969,55.08,일반,제1종근린생활,법인,,,"80,000",21,4,2025,중개거래,서울 성동구,,3**,제3종일반주거,23,11200,성동구,,개인,성수동2가
1979,40.1,집합,판매,개인,,,"19,500",18,4,2025,중개거래,서울 성동구,,234,유통상업,,11200,성동구,,개인,용답동
1969,171.9,일반,제1종근린생활,법인,,,"500,000",14,4,2025,중개거래,서울 성동구,,3**,제3종일반주거,166,11200,성동구,,개인,성수동2가
1982,17.48,집합,제2종근린생활,개인,,,"57,400",2,4,2025,중개거래,서울 성동구,2,220-1,제3종일반주거,,11200,성동구,,개인,옥수동
1982,17.48,집합,제2종근린생활,개인,,,"57,400",2,4,2025,중개거래,서울 성동구,2,220-1,제3종일반주거,,11200,성동구,,개인,옥수동
2011,85.8,집합,업무,법인,,,"119,600",10,4,2025,직거래,,13,325-2,준공업,,11200,성동구,,법인,성수동2가
1986,20.93,집합,판매,개인,,,"19,500",2,4,2025,중개거래,서울 성동구,2,428,제3종일반주거,,11200,성동구,,개인,옥수동
2006,24.1,집합,판매,개인,,,"10,000",1,4,2025,중개거래,서울 성동구,1,69,일반상업,,11200,성동구,,개인,도선동
1979,256.86,일반,제2종근린생활,법인,,,"335,000",13,5,2025,직거래,,,4**,제3종일반주거,224.8,11200,성동구,,법인,마장동
2014,26.93,집합,제1종근린생활,개인,,,"20,500",28,5,2025,중개거래,서울 성동구,1,811,제3종일반주거,,11200,성동구,,개인,상왕십리동
1986,15.16,집합,판매,개인,,,"23,000",25,5,2025,중개거래,서울 은평구,,784,제3종일반주거,,11200,성동구,,개인,마장동
1977,15.31,집합,판매,개인,,,"28,600",24,5,2025,직거래,,,19-54,제2종일반주거,,11200,성동구,,개인,행당동
1983,166.51,일반,제1종근린생활,개인,,,"5,000",20,5,2025,직거래,,,3**,제2종일반주거,6.7,11200,성동구,지분,개인,행당동
2024,64.26,집합,제2종근린생활,개인,,,"30,000",7,5,2025,직거래,,,238-6,유통상업,,11200,성동구,,법인,용답동
2001,17.38,집합,제2종근린생활,개인,,,"4,500",16,5,2025,중개거래,서울 성동구,1,633,제3종일반주거,,11200,성동구,,개인,금호동1가
1972,513.12,일반,제1종근린생활,법인,,,"590,000",1,5,2025,중개거래,서울 성동구,,7**,제2종일반주거,311.4,11200,성동구,,개인,마장동
,45.55,집합,제1종근린생활,개인,,,"87,000",10,5,2025,중개거래,"서울 강동구, 서울 성동구",,335-123,제3종일반주거,,11200,성동구,,개인,성수동2가
1968,828,일반,제1종근린생활,개인,,,"60,000",2,5,2025,중개거래,서울 성동구,,7**,제2종일반주거,27.01,11200,성동구,지분,개인,마장동
1998,43.92,집합,제2종근린생활,개인,,,"19,000",10,5,2025,중개거래,서울 성동구,3,818,제3종일반주거,,11200,성동구,,개인,마장동
2014,52.5,집합,판매,개인,,,"37,500",7,5,2025,중개거래,서울 성동구,12,811,제3종일반주거,,11200,성동구,,개인,상왕십리동
2011,76.38,집합,판매,개인,,,"79,300",12,5,2025,중개거래,서울 서초구,,685-696,일반상업,,11200,성동구,,개인,성수동1가
1965,27.44,일반,제2종근린생활,개인,,,"150,000",9,5,2025,중개거래,서울 성동구,,3**,제3종일반주거,46,11200,성동구,,개인,성수동2가
1998,147.03,일반,제2종근린생활,법인,,,"125,238",25,6,2025,직거래,,,2**,준공업,106.4,11200,성동구,,법인,성수동2가
,19.36,집합,교육연구,법인,,,"19,000",30,6,2025,중개거래,서울 강남구,1,1208,제2종일반주거,,11200,성동구,,개인,금호동2가
1984,295.62,일반,제2종근린생활,법인,,,"500,000",25,6,2025,중개거래,서울 강남구,,2**,준공업,212.6,11200,성동구,,개인,성수동2가
1985,188.16,일반,제2종근린생활,법인,,,"520,000",21,6,2025,중개거래,서울 강남구,,3**,준공업,109.8,11200,성동구,,법인,성수동2가
1959,193.68,일반,제2종근린생활,개인,,,"420,000",28,6,2025,중개거래,서울 성동구,,6**,제2종일반주거,142,11200,성동구,,개인,성수동2가
1998,33.12,집합,교육연구,법인,,,"22,100",26,6,2025,직거래,,2,147,제3종일반주거,,11200,성동구,,개인,행당동
1998,33.12,집합,교육연구,법인,,,"22,100",26,6,2025,직거래,,2,147,제3종일반주거,,11200,성동구,,개인,행당동
2020,79.44,집합,제2종근린생활,개인,,,"172,700",20,6,2025,중개거래,서울 성동구,1,273-52,준공업,,11200,성동구,,법인,성수동2가
2020,74.79,집합,제2종근린생활,개인,,,"162,650",20,6,2025,중개거래,서울 성동구,1,273-52,준공업,,11200,성동구,,법인,성수동2가
1991,377.35,일반,제2종근린생활,법인,,,"430,000",10,6,2025,중개거래,서울 강남구,,2**,준공업,132.9,11200,성동구,,법인,성수동2가
2018,29.68,집합,제1종근린생활,개인,,,"14,000",16,6,2025,중개거래,서울 성동구,,146-1,준주거,,11200,성동구,,개인,홍익동
2003,1385.22,집합,교육연구,법인,,,"541,100",17,6,2025,직거래,,7,140,제3종일반주거,,11200,성동구,,개인,행당동
2017,64.19,집합,제2종근린생활,개인,,,"90,000",4,6,2025,중개거래,서울 성동구,2,656-591,준공업,,11200,성동구,,개인,성수동1가
1990,6.16,집합,제1종근린생활,개인,,,"33,000",20,6,2025,중개거래,서울 강남구,,4,제1종일반주거,,11200,성동구,,법인,옥수동
2003,1385.22,집합,제1종근린생활,법인,,,"547,050",17,6,2025,직거래,,6,140,제3종일반주거,,11200,성동구,,개인,행당동
2003,142.2,집합,교육연구,개인,,,"58,950",17,6,2025,직거래,,4,140,제3종일반주거,,11200,성동구,,개인,행당동
